id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
74	9894	взве'шу	взве'сишь	взве'сит	взве'сим	взве'сите	взве'сят
75	12094	взве'шиваю	взве'шиваешь	взве'шивает	взве'шиваем	взве'шиваете	взве'шивают
76	5218	взволну'ю	взволну'ешь	взволну'ет	взволну'ем	взволну'ете	взволну'ют
77	25161	взволну'юсь	взволну'ешься	взволну'ется	взволну'емся	взволну'етесь	взволну'ются
78	12677	взгля'дываю	взгля'дываешь	взгля'дывает	взгля'дываем	взгля'дываете	взгля'дывают
79	813	взгляну'	взгля'нешь	взгля'нет	взгля'нем	взгля'нете	взгля'нут
80	753	вздохну'	вздохнёшь	вздохнёт	вздохнём	вздохнёте	вздохну'т
81	4119	вздра'гиваю	вздра'гиваешь	вздра'гивает	вздра'гиваем	вздра'гиваете	вздра'гивают
82	2703	вздро'гну	вздро'гнешь	вздро'гнет	вздро'гнем	вздро'гнете	вздро'гнут
83	3383	вздыха'ю	вздыха'ешь	вздыха'ет	вздыха'ем	вздыха'ете	вздыха'ют
84	6912	взлета'ю	взлета'ешь	взлета'ет	взлета'ем	взлета'ете	взлета'ют
85	4549	взлечу'	взлети'шь	взлети'т	взлети'м	взлети'те	взлетя'т
86	31079	взметну'	взметнёшь	взметнёт	взметнём	взметнёте	взметну'т
87	7821	взберу'сь	взберёшься	взберётся	взберёмся	взберётесь	взберу'тся
88	6636	взойду'	взойдёшь	взойдёт	взойдём	взойдёте	взойду'т
89	137	возьму'	возьмёшь	возьмёт	возьмём	возьмёте	возьму'т
90	1168	возьму'сь	возьмёшься	возьмётся	возьмёмся	возьмётесь	возьму'тся
91	1469						
92	94	ви'жу	ви'дишь	ви'дит	ви'дим	ви'дите	ви'дят
93	3425	ви'жусь	ви'дишься	ви'дится	ви'димся	ви'дитесь	ви'дятся
94	6177	визжу'	визжи'шь	визжи'т	визжи'м	визжи'те	визжа'т
95	10929	виню'	вини'шь	вини'т	вини'м	вини'те	виня'т
96	862	вишу'	виси'шь	виси'т	виси'м	виси'те	вися'т
97	11255	вита'ю	вита'ешь	вита'ет	вита'ем	вита'ете	вита'ют
98	6983	вью'	вьёшь	вьёт	вьём	вьёте	вью'т
99	3225	включа'ю	включа'ешь	включа'ет	включа'ем	включа'ете	включа'ют
100	1755	включу'	включи'шь	включи'т	включи'м	включи'те	включа'т
101	2709	владе'ю	владе'ешь	владе'ет	владе'ем	владе'ете	владе'ют
102	15370	влива'юсь	влива'ешься	влива'ется	влива'емся	влива'етесь	влива'ются
103	16783	волью'сь	вольёшься	вольётся	вольёмся	вольётесь	волью'тся
104	5544	влия'ю	влия'ешь	влия'ет	влия'ем	влия'ете	влия'ют
105	5329	влюблю'сь	влю'бишься	влю'бится	влю'бимся	влю'битесь	влю'бятся
106	11239	влюбля'юсь	влюбля'ешься	влюбля'ется	влюбля'емся	влюбля'етесь	влюбля'ются
107	3936	вмеша'юсь	вмеша'ешься	вмеша'ется	вмеша'емся	вмеша'етесь	вмеша'ются
108	5126	вме'шиваюсь	вме'шиваешься	вме'шивается	вме'шиваемся	вме'шиваетесь	вме'шиваются
109	3411	внесу'	внесёшь	внесёт	внесём	внесёте	внесу'т
110	6331	вношу'	вно'сишь	вно'сит	вно'сим	вно'сите	вно'сят
111	15743	вберу'	вберёшь	вберёт	вберём	вберёте	вберу'т
112	2213	вожу'	во'дишь	во'дит	во'дим	во'дите	во'дят
113	13949	водружу'	водрузи'шь	водрузи'т	водрузи'м	водрузи'те	водрузя'т
114	1663	вою'ю	вою'ешь	вою'ет	вою'ем	вою'ете	вою'ют
115	3677	возбужу'	возбуди'шь	возбуди'т	возбуди'м	возбуди'те	возбудя'т
116	9131	возбужда'ю	возбужда'ешь	возбужда'ет	возбужда'ем	возбужда'ете	возбужда'ют
117	8197	возвращу'	возврати'шь	возврати'т	возврати'м	возврати'те	возвратя'т
118	4954	возвращу'сь	возврати'шься	возврати'тся	возврати'мся	возврати'тесь	возвратя'тся
119	4725	возвраща'ю	возвраща'ешь	возвраща'ет	возвраща'ем	возвраща'ете	возвраща'ют
120	685	возвраща'юсь	возвраща'ешься	возвраща'ется	возвраща'емся	возвраща'етесь	возвраща'ются
121	24001	возвы'шусь	возвы'сишься	возвы'сится	возвы'симся	возвы'ситесь	возвы'сятся
122	5485	возвыша'юсь	возвыша'ешься	возвыша'ется	возвыша'емся	возвыша'етесь	возвыша'ются
123	7680	возгла'влю	возгла'вишь	возгла'вит	возгла'вим	возгла'вите	возгла'вят
124	4966	возглавля'ю	возглавля'ешь	возглавля'ет	возглавля'ем	возглавля'ете	возглавля'ют
125	10113	воздержу'сь	возде'ржишься	возде'ржится	возде'ржимся	возде'ржитесь	возде'ржатся
126	19931	возде'рживаюсь	возде'рживаешься	возде'рживается	возде'рживаемся	возде'рживаетесь	возде'рживаются
127	3706	вожу'	во'зишь	во'зит	во'зим	во'зите	во'зят
128	23206	возлюблю'	возлю'бишь	возлю'бит	возлю'бим	возлю'бите	возлю'бят
129	17084	возмещу'	возмести'шь	возмести'т	возмести'м	возмести'те	возместя'т
130	12609	возненави'жу	возненави'дишь	возненави'дит	возненави'дим	возненави'дите	возненави'дят
131	995	возника'ю	возника'ешь	возника'ет	возника'ем	возника'ете	возника'ют
132	935	возни'кну	возни'кнешь	возни'кнет	возни'кнем	возни'кнете	возни'кнут
133	2670	возража'ю	возража'ешь	возража'ет	возража'ем	возража'ете	возража'ют
134	1566	возражу'	возрази'шь	возрази'т	возрази'м	возрази'те	возразя'т
135	6935	возраста'ю	возраста'ешь	возраста'ет	возраста'ем	возраста'ете	возраста'ют
136	7055	возросту'	возростёшь	возростёт	возростём	возростёте	возросту'т
137	14715		возроди'шь	возроди'т	возроди'м	возроди'те	возродя'т
138	28721	возрожда'ю	возрожда'ешь	возрожда'ет	возрожда'ем	возрожда'ете	возрожда'ют
139	397	войду'	войдёшь	войдёт	войдём	войдёте	войду'т
140	3674	волну'ю	волну'ешь	волну'ет	волну'ем	волну'ете	волну'ют
141	1715	волну'юсь	волну'ешься	волну'ется	волну'емся	волну'етесь	волну'ются
142	7618	волочу'	воло'чишь	воло'чит	воло'чим	воло'чите	воло'чат
143	11309	волоку'	волочёшь	волочёт	волочём	волочёте	волоку'т
144	8666	воня'ю	воня'ешь	воня'ет	воня'ем	воня'ете	воня'ют
145	4990	вообража'ю	вообража'ешь	вообража'ет	вообража'ем	вообража'ете	вообража'ют
