word_id	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_conj_id
46059			похва'ливай	похва'ливайте	похва'ливал	похва'ливала	похва'ливало	похва'ливали	11716
46061			похва'рывай	похва'рывайте	похва'рывал	похва'рывала	похва'рывало	похва'рывали	11717
46062			похе'рь	похе'рьте	похе'рил	похе'рила	похе'рило	похе'рили	11718
46066			похохочи'	похохочи'те	похохота'л	похохота'ла	похохота'ло	похохота'ли	11719
46081	perfective	почивать	почи'й	почи'йте	почи'л	почи'ла	почи'ло	почи'ли	11721
46083	imperfective		почку'йся	почку'йтесь	почкова'лся	почкова'лась	почкова'лось	почкова'лись	11722
46087			пошали'	пошали'те	пошали'л	пошали'ла	пошали'ло	пошали'ли	11723
46091			пошто'пай	пошто'пайте	пошто'пал	пошто'пала	пошто'пало	пошто'пали	11724
46095			поэтизи'руй	поэтизи'руйте	поэтизи'ровал	поэтизи'ровала	поэтизи'ровало	поэтизи'ровали	11725
46136			предводи'тельствуй	предводи'тельствуйте	предводи'тельствовал	предводи'тельствовала	предводи'тельствовало	предводи'тельствовали	11727
46137	imperfective	предвосхитить	предвосхища'й	предвосхища'йте	предвосхища'л	предвосхища'ла	предвосхища'ло	предвосхища'ли	10650
46143	imperfective	предназначить	предназнача'й	предназнача'йте	предназнача'л	предназнача'ла	предназнача'ло	предназнача'ли	10656
46147			предначерта'й	предначерта'йте	предначерта'л	предначерта'ла	предначерта'ло	предначерта'ли	11728
46157			предпосыла'й	предпосыла'йте	предпосыла'л	предпосыла'ла	предпосыла'ло	предпосыла'ли	11729
46162	imperfective	предрешить	предреша'й	предреша'йте	предреша'л	предреша'ла	предреша'ло	предреша'ли	11730
46164			представи'тельствуй	представи'тельствуйте	представи'тельствовал	представи'тельствовала	представи'тельствовало	представи'тельствовали	11731
46167	imperfective	предуведомить	предуведомля'й	предуведомля'йте	предуведомля'л	предуведомля'ла	предуведомля'ло	предуведомля'ли	11732
46168	imperfective	предугадать	предуга'дывай	предуга'дывайте	предуга'дывал	предуга'дывала	предуга'дывало	предуга'дывали	11733
