word_id	gender	partner	animate	indeclinable	sg_only	pl_only	decl_sg_id	decl_pl_id
1799	f		0	0	0	0	14579	14580
1800	m		0	0	0	0	22523	22524
1802	n		0	0	0	0	13374	13375
1803	m		1	0	0	0	8270	8271
1805	f		0	0	0	0	16921	16922
1807	m		0	0	0	0	3424	3425
1809	f		0	0	0	0	9365	9366
1810	m		0	0	0	0	8742	8743
1812	n		0	0	0	0	19796	19797
1813	f		0	0	0	0	17548	17549
1815	m		0	0	0	0	13473	13474
1816	m		0	0	0	0	17804	17805
1822	f		0	0	0	0	21175	21176
1823	f		0	0	0	0	18067	18068
1824	m		0	0	0	0	15906	15907
1827							83789	83790
1828	m		0	0	0	0	19024	19025
1829	f		0	0	0	0	4952	4953
1830	m		0	0	0	0	4402	4403
1831	n		0	0	0	0	24856	24857
1834			1	0	0	0	24858	24859
1837	f		0	0	0	0	17851	17852
1838	f		0	0	1	0	21467	81747
1839	m		0	0	0	0	15684	15685
1841	n		0	0	0	0	8340	8341
1842	n		0	0	0	0	5327	5328
1847	m		0	0	0	0	19493	19494
1850	f		0	0	0	0	20554	20555
1852	n		0	0	0	0	11502	11503
1855	m	коммунистка	1	0	0	0	8424	8425
1857	m	участница	1	0	0	0	22457	22458
1858	f		1	0	0	0	15127	15128
1859	f		0	0	0	0	6742	6743
1860	m		0	0	1	0	4111	81748
1863	m		1	0	0	0	24572	24573
1864	m		1	0	0	0	6178	6179
1865	f		0	0	0	0	7341	7342
1866	f		0	0	0	0	8314	8315
1869	f		0	0	0	0	12749	12750
1875	m		0	0	0	0	24202	24203
1876	m		0	0	0	0	14559	14560
1880	n		0	0	0	0	9192	9193
1881	n		0	0	0	0	13626	13627
1882				0	0	1		83916
1883	n		0	0	0	0	7331	7332
1884			0	0	0	0	24860	24861
1887	f		0	0	0	0	21280	21281
1889	m		0	0	0	0	7589	7590
1890	f		1	0	0	0	4704	4705
1892	m		0	0	0	0	9021	9022
1894	f		0	0	0	0	21199	21200
1895	m		0	0	0	0	9967	9968
1896	n		0	0	0	0	10939	10940
1898	f		0	0	0	0	1235	1236
1899	n		0	0	0	0	22392	22393
1900	f		0	0	0	0	13906	13907
1902	m		0	0	0	0	22786	22787
1905	m		0	0	0	0	24862	24863
1912	f		0	0	0	0	2662	2663
1913	n		0	0	0	0	2899	2900
1914	f		0	0	0	0	17441	17442
1915			0	0	0	0	24868	24869
1917	f		0	0	0	0	15466	15467
1918	f		1	0	0	0	5359	5360
1919	f		0	0	0	0	11381	11382
1922	f		1	0	0	0	12621	12622
1925	m		0	0	0	0	19295	19296
1927	m		0	0	0	0	18893	18894
1929	f		0	0	0	0	14525	14526
1930	m	крестьянка	1	0	0	0	9035	9036
1932	n		0	1	0	0	81749	81750
1933	n		0	0	0	0	10029	10030
1934	f		0	0	0	0	21040	21041
1935	n		0	0	0	0	19434	19435
1944	f		0	0	0	0	17619	17620
1947	f		0	0	0	0	6311	6312
1948	m		0	0	0	0	21424	21425
1949	m		1	0	0	0	21872	21873
1951	f		0	0	0	0	20844	20845
1955	m		0	0	0	0	5228	5229
1957	f		0	0	0	0	6266	6267
1958	m		0	0	0	0	15194	15195
1959	f		0	0	0	0	14168	14169
1960	f		1	0	0	0	238	239
1964	m		1	0	0	0	18777	18778
1966	f		0	0	0	0	14662	14663
1967	f		0	0	0	0	5946	5947
1970	n		0	0	0	0	13615	13616
1971	f		1	0	0	0	4692	4693
1974			1	0	0	0	24870	24871
1975	n		0	0	0	0	13009	13010
1976	m		0	0	0	0	23109	23110
1980	m		1	0	0	0	14096	14097
1981	n		0	0	0	0	20625	20626
1982	f		0	0	0	0	15192	15193
1983	f		0	0	0	0	17637	17638
1984	f		0	0	0	0	2560	2561
1985	f		0	0	0	0	14933	14934
1988	m		0	0	0	0	14092	14093
1989	f		0	0	0	0	16294	16295
1990	m		0	0	0	0	23055	23056
1997	n		0	1	0	0	81751	81752
1999	m		0	0	0	0	14898	14899
2000	m		0	0	0	0	3266	3267
2001	f		0	0	0	0	10625	10626
2002	f		0	0	0	0	7442	7443
2003	f		0	0	0	0	7731	7732
2008	m		0	0	1	0	6882	81753
2009	f		0	0	0	0	1957	1958
2012	m		0	0	0	0	6260	6261
2016	f		0	0	0	0	20958	20959
2017	m		1	0	0	0	10906	10907
2018			0	0	0	0	24872	24873
2022	f		0	0	0	0	15119	15120
2023	m		0	0	0	0	20987	20988
2027	f		0	0	0	0	13449	13450
2030	f		0	0	0	0	5441	5442
2031	m		0	0	0	0	13920	13921
2032	m	помощница	1	0	0	0	15514	15515
2033	f		0	0	0	0	23883	23884
2035	n		0	0	0	0	16749	16750
2036	f		0	0	0	0	15003	15004
2037	m		0	0	0	0	3471	3472
2044	m		0	0	0	0	1231	1232
2047	f		0	0	0	0	19562	19563
2048	f		0	0	0	0	15796	15797
2052	m		0	0	0	0	19131	19132
2054	m		0	0	0	0	6385	6386
2055	m		0	0	0	0	11062	11063
2057	f		0	0	0	0	12641	12642
2058	f		0	0	0	0	16999	17000
2060	m		1	0	0	0	24397	24398
2061	m		0	0	0	0	24378	24379
2063	f		0	0	0	0	5224	5225
2064	m		1	0	0	0	3104	3105
2065	m	медведица	1	0	0	0	10393	10394
2066	n		0	0	0	0	2459	2460
2068	f		0	0	0	0	19242	19243
2072	m		0	0	0	0	15317	15318
2073	m		0	0	0	0	17197	17198
2074	n		0	0	0	0	5761	5762
2077	m		0	0	0	0	10611	10612
2078			0	0	0	0	24876	24877
2080	f		0	0	0	0	12446	12447
2082	f		0	0	0	0	20637	20638
2085	f		0	0	0	0	20846	20847
2086	m		1	0	0	0	8395	8396
2089	m	малышка	1	0	0	0	10140	10141
2090	f		0	0	0	0	14886	14887
2093	n		0	0	0	0	15588	15589
2094	f		0	0	0	0	23304	23305
2095	m		0	0	0	0	8496	8497
2097	f		0	0	0	0	21960	21961
2098	n		0	0	0	0	7253	7254
2099	f		0	0	0	0	2236	2237
2101			0	0	0	0	24882	24883
2102	f		0	0	0	0	1259	1260
2103	m		0	0	0	0	18929	18930
2104	f		0	0	0	0	9437	9438
2105	m		0	0	0	0	18018	18019
2107	f		0	0	0	0	4000	4001
2109	f		0	0	0	0	1610	1611
2110	m		0	0	0	0	1998	1999
2113	f		0	0	0	0	21340	21341
2114	m		0	0	0	0	22910	22911
2118	m		0	0	0	0	13099	13100
2120	f		0	0	0	0	4865	4866
2121	f		0	0	0	0	24884	24885
2122	n		0	0	0	0	81754	81755
2125	m		1	0	0	0	9679	9680
2128	f		1	0	0	0	8774	8775
2129	m	преступница	1	0	0	0	16211	16212
2131	m		0	0	0	0	7398	7399
2134	n		0	0	0	0	6041	6042
2136	n		0	0	0	0	6329	6330
2137	f		0	0	0	0	13960	13961
2138	f			0	1	0	22846	81756
2140	m		1	0	0	0	4822	4823
2143	f		0	0	1	0	10916	81757
2147	f		0	0	0	0	12489	12490
2149	m		1	0	0	0	4049	4050
2154	f		0	0	0	0	23262	23263
2155	f		0	0	0	0	10591	10592
2156	f		0	0	0	0	13536	13537
2162	m		0	0	0	0	13873	13874
2163	n		0	0	0	0	21896	21897
2164	m		0	0	0	0	8596	8597
2165	m		0	0	0	0	15788	15789
2166	m		0	0	0	0	14977	14978
2167	m		0	0	0	0	22040	22041
2168	m		0	0	0	0	14408	14409
2171	m		0	0	0	0	1273	1274
2173	m	американка	1	0	0	0	516	517
2174	f		0	0	0	0	21505	21506
2175	m		0	0	0	0	16270	16271
2176	m		0	0	0	0	20474	20475
2177	f		0	0	0	0	22340	22341
2179	m		1	0	0	0	23790	23791
2182			0	0	0	0	24888	24889
2183	f		0	0	0	0	1166	1167
2185	m		0	0	0	0	19637	19638
