gender,number,example,infinitive,я,ты,он/она́/оно́,мы,вы,они́
any,any,понима́ть,ть/ти,у/ю,ешь,ет,ем,ете,ют
any,any,говори́ть,ить/ать,у/ю,ишь,ит,им,ите,ат/ят
